,0
0,11
1,9
2,6
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,49
15,1
16,4
17,1
18,2
19,9
20,61
21,27
22,59
23,30
24,7
25,8
26,33
27,47
28,5
29,41
30,74
31,40
32,44
33,10
34,1
35,3
36,6
37,144
38,29
39,74
40,6
41,8
42,7
43,3
44,28
45,59
46,111
47,20
48,36
49,9
50,51
51,15
52,31
53,118
54,41
55,2
56,20
57,19
58,3
59,3
60,2
61,2
62,299
63,115
64,83
65,33
66,26
67,19
68,6
69,24
70,1
71,29
72,5
73,3
74,10
75,18
76,12
77,1
78,4
79,34
80,6
81,1
82,16
83,109
84,1
85,1
86,4
87,11
88,86
89,6
90,9
91,3
92,51
93,1
94,2
95,2
96,5
97,1
98,6
99,5
100,3
101,6
102,4
103,8
104,2
105,10
106,5
107,1
108,2
109,2
110,2
111,2
112,3
113,3
114,2
115,11
116,1
117,3
118,1
119,1
120,1
121,2
122,1
123,1
124,1
125,1
126,25
127,14
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,47
179,24
180,52
181,71
182,20
183,45
184,19
185,8
186,27
187,4
188,23
189,23
190,9
191,36
192,1
193,1
194,2
195,31
196,1
197,39
198,144
199,33
200,4
201,51
202,15
203,25
204,25
205,30
206,12
207,21
208,14
209,24
210,34
211,2
212,1
213,3
214,4
215,1
216,1
217,1
218,3
219,3
220,3
221,1
222,3
223,4
224,1
225,3
226,1
227,1
228,1
229,3
230,1
231,2
232,3
233,1
234,1
235,1
236,1
237,3
238,3
239,1
240,1
241,6
242,1
243,3
244,1
245,1
246,1
247,1
248,6
249,3
250,1
251,1
252,1
253,1
254,3
255,5
256,1
257,3
258,1
259,1
260,26
261,3
262,9
263,1
264,1
265,1
266,18
267,24
268,38
269,2
270,3
271,2
272,5
273,2
274,5
275,2
276,2
277,10
278,3
279,2
280,4
281,4
282,2
283,3
284,3
285,3
286,2
287,6
288,2
289,2
290,2
291,51
292,38
293,17
294,9
295,17
296,6
297,22
298,54
299,2
300,1
301,2
302,1
303,1
304,1
305,3
306,1
307,2
308,1
309,2
310,4
311,5
312,34
313,21
314,4
315,4
316,15
317,6
318,13
319,4
320,22
321,4
322,17
323,1
324,1
325,20
326,5
327,14
328,5
329,3
330,15
331,4
332,75
333,16
334,13
335,3
336,2
337,9
338,3
339,14
340,14
341,21
342,72
343,5
344,3
345,14
346,10
347,16
348,14
349,16
350,17
351,22
352,2
353,2
354,18
355,5
356,19
357,6
358,2
359,2
360,13
361,1
362,22
363,11
364,2
365,7
366,10
367,1
368,1
369,1
370,1
371,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,9
382,4
383,2
384,1
385,1
386,2
387,14
388,18
389,13
390,19
391,36
392,20
393,17
394,23
395,20
396,21
397,18
398,22
399,21
400,9
401,18
402,18
403,2
404,2
405,12
406,37
407,4
408,2
409,7
410,2
411,17
412,3
413,16
414,2
415,6
416,19
417,1
418,1
419,1
420,2
421,3
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,9
470,6
471,7
472,2
473,3
474,6
475,7
476,5
477,4
478,2
479,6
480,6
481,7
482,16
483,14
484,2
485,3
486,6
487,4
488,4
489,5
490,16
491,2
492,8
493,5
494,21
495,4
496,9
497,9
498,10
499,2
500,3
501,22
502,23
503,4
504,2
505,4
506,6
507,2
508,2
509,2
510,4
511,2
512,2
513,2
514,2
515,2
516,2
517,4
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,4
527,2
528,2
529,2
530,4
531,4
532,2
533,4
534,2
535,2
536,2
537,2
538,2
539,4
540,2
541,2
542,2
543,4
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,4
571,2
572,2
573,2
574,2
575,2
576,1
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,3
589,3
590,3
591,2
592,5
593,1
594,14
595,4
596,12
597,16
598,5
599,6
600,1
601,18
602,24
603,6
604,7
605,6
606,4
607,19
608,9
609,12
610,2
611,6
612,2
613,11
